property1,section,ticket,type,price,lat,lon
Clyston Mill,Whole property,Adult,Gift aid,N/A,50.7657297,-3.4475338
Clyston Mill,Whole property,Adult,Standard,£5.80,50.7657297,-3.4475338
Clyston Mill,Whole property,Child,Gift aid,N/A,50.7657297,-3.4475338
Clyston Mill,Whole property,Child,Standard,£2.90,50.7657297,-3.4475338
Clyston Mill,Whole property,Family,Gift aid,N/A,50.7657297,-3.4475338
Clyston Mill,Whole property,Family,Standard,£14.50,50.7657297,-3.4475338
Clyston Mill,Whole property,1 adult,Gift aid,N/A,50.7657297,-3.4475338
Clyston Mill,Whole property,1 adult,Standard,£8.70,50.7657297,-3.4475338
The White Cliffs of Dover,Car parking charge (per car),Adult,Gift aid,N/A,51.132205,1.339026
The White Cliffs of Dover,Car parking charge (per car),Adult,Standard,£4.00,51.132205,1.339026
The White Cliffs of Dover,Fan Bay Deep Shelter,Adult,Gift aid,N/A,51.132205,1.339026
The White Cliffs of Dover,Fan Bay Deep Shelter,Adult,Standard,£10.00,51.132205,1.339026
The White Cliffs of Dover,Fan Bay Deep Shelter,Child,Gift aid,N/A,51.132205,1.339026
The White Cliffs of Dover,Fan Bay Deep Shelter,Child,Standard,£5.00,51.132205,1.339026
Sutton House and Breaker's Yard,Whole property,Adult,Gift aid,£7.00,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Adult,Standard,£6.30,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Child,Gift aid,£3.50,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Child,Standard,£3.00,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Family,Gift aid,£17.50,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Family,Standard,£15.50,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,One adult two Children,Gift aid,£10.50,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,One adult two Children,Standard,£9.50,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Group Adult,Gift aid,N/A,51.548,-0.04921
Sutton House and Breaker's Yard,Whole property,Group Adult,Standard,£5.40,51.548,-0.04921
Waddesdon Manor,Whole property,Adult,Gift aid,£22.00,51.840801,-0.92629
Waddesdon Manor,Whole property,Adult,Standard,£19.80,51.840801,-0.92629
Waddesdon Manor,Whole property,Child,Gift aid,£11.00,51.840801,-0.92629
Waddesdon Manor,Whole property,Child,Standard,£9.90,51.840801,-0.92629
Waddesdon Manor,Whole property,Family,Gift aid,£55.00,51.840801,-0.92629
Waddesdon Manor,Whole property,Family,Standard,£49.50,51.840801,-0.92629
Waddesdon Manor,Whole property,Group Adult,Gift aid,N/A,51.840801,-0.92629
Waddesdon Manor,Whole property,Group Adult,Standard,£15.00,51.840801,-0.92629
Waddesdon Manor,Whole property,Group Child,Gift aid,N/A,51.840801,-0.92629
Waddesdon Manor,Whole property,Group Child,Standard,£7.50,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Adult,Gift aid,£12.00,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Adult,Standard,£10.80,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Child,Gift aid,£6.00,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Child,Standard,£5.40,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Family,Gift aid,£30.00,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Family,Standard,£27.00,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Group Adult,Gift aid,N/A,51.840801,-0.92629
Waddesdon Manor,Gardens only (21 Mar-28 Oct),Group Adult,Standard,£7.50,51.840801,-0.92629
