property1,section,ticket,type,price,lat,lon
2 Willow Road,Whole property,Group Adult,Gift aid,N/A,51.557499,-0.16861
A la Ronde,Admission prices,Group Adult,Gift aid,N/A,50.641718,-3.408798
Aberconwy House,Aberconwy House,Adult,Gift aid,N/A,53.282101,-3.82732
Aberconwy House,Aberconwy House and Toll House,Adult,Gift aid,N/A,53.282101,-3.82732
Aberconwy House,Toll House,Adult,Gift aid,N/A,53.282101,-3.82732
Aberconwy House,Aberconwy House,Child,Gift aid,N/A,53.282101,-3.82732
Aberconwy House,Aberconwy House,Family,Gift aid,N/A,53.282101,-3.82732
Aberconwy House,Aberconwy House,Group Adult,Gift aid,N/A,53.282101,-3.82732
Aberconwy House,Aberconwy House,Group Child,Gift aid,N/A,53.282101,-3.82732
Aberconwy House,Aberconwy House and Toll House,Child,Gift aid,N/A,53.282101,-3.82732
Aberconwy House,Aberconwy House and Toll House,Family,Gift aid,N/A,53.282101,-3.82732
Aberconwy House,Toll House,Child,Gift aid,N/A,53.282101,-3.82732
Aberconwy House,Toll House,Family,Gift aid,N/A,53.282101,-3.82732
Aberdulais,Whole property,Group Adult,Gift aid,N/A,51.680698,-3.77791
Aberdulais,Whole property,Group Child,Gift aid,N/A,51.680698,-3.77791
Alfriston Clergy House,Whole property,Group Adult,Gift aid,N/A,50.803299,0.16206
Alfriston Clergy House,Whole property,Group Child,Gift aid,N/A,50.803299,0.16206
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Group Adult,Gift aid,N/A,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Group Child,Gift aid,N/A,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill",Gardens & Mill only,Group Adult,Gift aid,N/A,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill",Gardens & Mill only,Group Child,Gift aid,N/A,52.235915,0.2448
Antony,Whole property,Group Adult,Gift aid,N/A,50.3848,-4.22563
Arlington Court and the National Trust Carriage Museum,Whole property,Group Adult,Gift aid,N/A,51.145699,-3.98588
Arlington Court and the National Trust Carriage Museum,Whole property,Group Child,Gift aid,N/A,51.145699,-3.98588
Ascott,Gardens Only,Adult,Gift aid,N/A,51.895802,-0.70058
Ascott,House and Gardens,Adult,Gift aid,N/A,51.895802,-0.70058
Ascott,Gardens Only,Child,Gift aid,N/A,51.895802,-0.70058
Ascott,House and Gardens,Child,Gift aid,N/A,51.895802,-0.70058
Ashdown House,Whole property,Adult,Gift aid,N/A,51.535999,-1.59116
Ashdown House,Whole property,Child,Gift aid,N/A,51.535999,-1.59116
Ashdown House,Whole property,Family,Gift aid,N/A,51.535999,-1.59116
Ashridge Estate,Monument,Adult,Gift aid,N/A,51.805599,-0.58542
Ashridge Estate,Monument,Child,Gift aid,N/A,51.805599,-0.58542
Attingham Park,Property admission from 3 February 2018,Group Adult,Gift aid,N/A,52.684399,-2.66675
Attingham Park,Off peak admission after 4.30pm from 3 Feb 2018,Group Adult,Gift aid,N/A,52.684399,-2.66675
Attingham Park Estate: Cronkhill,Whole property,Adult,Gift aid,N/A,52.669399,-2.68733
Attingham Park Estate: Cronkhill,Whole property,Child,Gift aid,N/A,52.669399,-2.68733
Attingham Park Estate: Town Walls Tower,Whole property,Adult,Gift aid,N/A,52.705002,-2.75512
Attingham Park Estate: Town Walls Tower,Whole property,Child,Gift aid,N/A,52.705002,-2.75512
Avebury,Avebury Manor Garden Winter 2018,Group Adult,Gift aid,N/A,51.427502,-1.85611
Avebury,Avebury Manor Garden Winter 2018,Group Child,Gift aid,N/A,51.427502,-1.85611
Avebury,Alexander Keiller Museum ,Group Adult,Gift aid,N/A,51.427502,-1.85611
Avebury,Alexander Keiller Museum ,Group Child,Gift aid,N/A,51.427502,-1.85611
Baddesley Clinton,General Admission,Group Adult,Gift aid,N/A,52.343832,-1.7084634
Barrington Court,Main season 9 Feb - 5 Nov 2018,Group Adult,Gift aid,N/A,50.960499,-2.85778
Barrington Court,Main season 9 Feb - 5 Nov 2018,Group Child,Gift aid,N/A,50.960499,-2.85778
Basildon Park,Whole property,Group Adult,Gift aid,N/A,51.4995,-1.11858
Basildon Park,Whole property,Group Child,Gift aid,N/A,51.4995,-1.11858
Bateman's,Whole property,Group Adult,Gift aid,N/A,50.987701,0.37695
Bateman's,Whole property,Group Child,Gift aid,N/A,50.987701,0.37695
Beatles Childhood Homes,NT Member,Adult,Gift aid,N/A,53.376751,-2.880458
Beatles Childhood Homes,Non-National Trust member,Adult,Gift aid,N/A,53.376751,-2.880458
Beatles Childhood Homes,NT Member,Child,Gift aid,N/A,53.376751,-2.880458
Beatles Childhood Homes,Non-National Trust member,Child,Gift aid,N/A,53.376751,-2.880458
Beatrix Potter Gallery and Hawkshead,Whole property,Group Adult,Gift aid,N/A,54.373798,-2.99525
Belton House,Below Stairs ticketed tours ,Adult,Gift aid,N/A,52.944901,-0.6137
Belton House,House and Grounds,Group Adult,Gift aid,N/A,52.944901,-0.6137
Belton House,House and Grounds,Group Child,Gift aid,N/A,52.944901,-0.6137
Belton House,Grounds only,Group Adult,Gift aid,N/A,52.944901,-0.6137
Belton House,Grounds only,Group Child,Gift aid,N/A,52.944901,-0.6137
Belton House,Below Stairs ticketed tours ,Child,Gift aid,N/A,52.944901,-0.6137
Belton House,Below Stairs ticketed tours ,Family,Gift aid,N/A,52.944901,-0.6137
Belton House,Grounds only: Winter,Group Adult,Gift aid,N/A,52.944901,-0.6137
Belton House,Grounds only: Winter,Group Child,Gift aid,N/A,52.944901,-0.6137
Bembridge Fort and Downs,Fort,Adult,Gift aid,N/A,50.671156,-1.11801
Bembridge Fort and Downs,Fort,Child,Gift aid,N/A,50.671156,-1.11801
Bembridge Windmill,Whole property,Group Adult,Gift aid,N/A,50.68551,-1.09474
Bembridge Windmill,Whole property,Group Child,Gift aid,N/A,50.68551,-1.09474
"Beningbrough Hall, Gallery and Gardens",Whole property,Group Adult,Gift aid,N/A,54.022099,-1.21315
"Beningbrough Hall, Gallery and Gardens",Whole property,Group Child,Gift aid,N/A,54.022099,-1.21315
"Beningbrough Hall, Gallery and Gardens",Winter,Group Adult,Gift aid,N/A,54.022099,-1.21315
"Beningbrough Hall, Gallery and Gardens",Winter,Group Child,Gift aid,N/A,54.022099,-1.21315
Benthall Hall,Whole property,Adult,Gift aid,N/A,52.6208,-2.50303
Benthall Hall,February,Adult,Gift aid,N/A,52.6208,-2.50303
Benthall Hall,Whole property,Child,Gift aid,N/A,52.6208,-2.50303
Benthall Hall,Whole property,Family,Gift aid,N/A,52.6208,-2.50303
Benthall Hall,February,Child,Gift aid,N/A,52.6208,-2.50303
Benthall Hall,February,Family,Gift aid,N/A,52.6208,-2.50303
Berrington Hall,Whole property,Group Adult,Gift aid,N/A,52.269501,-2.71427
Berrington Hall,Whole property,Group Child,Gift aid,N/A,52.269501,-2.71427
Biddulph Grange Garden,Whole property,Group Adult,Gift aid,N/A,53.129601,-2.15629
Birmingham Back to Backs,Whole property,Group Adult,Gift aid,N/A,52.473999,-1.8963
Birmingham Back to Backs,Whole property,Group Child,Gift aid,N/A,52.473999,-1.8963
Blickling Estate,Whole property,Group Adult,Gift aid,N/A,52.812,1.23139
Blickling Estate,Whole property,Group Child,Gift aid,N/A,52.812,1.23139
Blickling Estate,Whole property | Winter pricing,Group Adult,Gift aid,N/A,52.812,1.23139
Blickling Estate,Whole property | Winter pricing,Group Child,Gift aid,N/A,52.812,1.23139
Boarstall Duck Decoy,Whole property,Adult,Gift aid,N/A,51.828999,-1.09014
Boarstall Duck Decoy,Whole property,Child,Gift aid,N/A,51.828999,-1.09014
Boarstall Duck Decoy,Whole property,Family,Gift aid,N/A,51.828999,-1.09014
Bodiam Castle,Whole property,Group Adult,Gift aid,N/A,51.000099,0.54741
Bodiam Castle,Whole property,Group Child,Gift aid,N/A,51.000099,0.54741
Bodnant Garden,Whole property,Group Adult,Gift aid,N/A,53.236099,-3.79996
Bodnant Garden,Whole property,Group Child,Gift aid,N/A,53.236099,-3.79996
Bourne Mill,Adult,Adult,Gift aid,N/A,51.875999,0.91378
Bourne Mill,Adult,Child,Gift aid,N/A,51.875999,0.91378
Bradley,Whole property,Group Adult,Gift aid,N/A,50.5256,-3.62486
Bradley,Whole property,Group Child,Gift aid,N/A,50.5256,-3.62486
Branscombe,Manor Mill,Adult,Gift aid,N/A,50.6922,-3.13646
Branscombe,Manor Mill,Child,Gift aid,N/A,50.6922,-3.13646
Brockhampton Estate,Whole property,Group Adult,Gift aid,N/A,52.1991,-2.4569
Brockhampton Estate,Whole property,Group Child,Gift aid,N/A,52.1991,-2.4569
Brockhampton Estate,Estate only,Group Adult,Gift aid,N/A,52.1991,-2.4569
Brockhampton Estate,Estate only,Group Child,Gift aid,N/A,52.1991,-2.4569
Brownsea Island,Whole property,Group Adult,Gift aid,N/A,50.6884,-1.95622
Brownsea Island,Whole property,Group Child,Gift aid,N/A,50.6884,-1.95622
Buckland Abbey,"House, garden and estate (Feb - Oct)",Group Adult,Gift aid,N/A,50.481098,-4.13074
Buckland Abbey,"House, garden and estate (Feb - Oct)",Group Child,Gift aid,N/A,50.481098,-4.13074
Buscot Old Parsonage,Whole property,Adult,Gift aid,N/A,51.679798,-1.66544
Buscot Old Parsonage,Whole property,Child,Gift aid,N/A,51.679798,-1.66544
Buscot Old Parsonage,Whole property,Family,Gift aid,N/A,51.679798,-1.66544
Buscot Park,Whole property,Adult,Gift aid,N/A,51.6703,-1.64498
Buscot Park,Grounds only,Adult,Gift aid,N/A,51.6703,-1.64498
Buscot Park,Whole property,Child,Gift aid,N/A,51.6703,-1.64498
Buscot Park,Whole property,Over 65s,Gift aid,N/A,51.6703,-1.64498
Buscot Park,Grounds only,Child,Gift aid,N/A,51.6703,-1.64498
Buscot Park,Grounds only,Over 65s,Gift aid,N/A,51.6703,-1.64498
Calke Abbey,Park only,Adult,Gift aid,N/A,52.808253,-1.472834
Calke Abbey,Whole property,Group Adult,Gift aid,N/A,52.808253,-1.472834
Calke Abbey,Whole property,Group Child,Gift aid,N/A,52.808253,-1.472834
Calke Abbey,"Garden, stables and park only",Group Adult,Gift aid,N/A,52.808253,-1.472834
Calke Abbey,"Garden, stables and park only",Group Child,Gift aid,N/A,52.808253,-1.472834
Calke Abbey,Park only,Child,Gift aid,N/A,52.808253,-1.472834
Calke Abbey,Park only,Family,Gift aid,N/A,52.808253,-1.472834
