property1,section,ticket,type,price,latitude,longditude
2 Willow Road,Joint ticket with Fenton House,Adult,Gift aid,14.5,51.557499,-0.16861
2 Willow Road,Whole property,Adult,Gift aid,7.7,51.557499,-0.16861
575 Wandsworth Road,House,Adult,Gift aid,8.8,51.46979,-0.140628
A la Ronde,Admission prices,Adult,Gift aid,10.5,50.641718,-3.408798
Aberdulais,Whole property,Adult,Gift aid,6.5,51.680698,-3.77791
Acorn Bank,Whole property,Adult,Gift aid,7.4,54.646301,-2.59228
Alfriston Clergy House,Whole property,Adult,Gift aid,6.2,50.803299,0.16206
Allan Bank and Grasmere,Whole property,Adult,Gift aid,7.2,54.460536,-3.029754
"Anglesey Abbey, Gardens and Lode Mill","Whole property (House, Garden & Mill)",Adult,Gift aid,14.65,52.235915,0.2448
"Anglesey Abbey, Gardens and Lode Mill",Gardens & Mill only,Adult,Gift aid,8.5,52.235915,0.2448
Antony,Whole property,Adult,Gift aid,11,50.3848,-4.22563
Ardress House,Whole property,Adult,Gift aid,5.5,54.442902,-6.59239
Arlington Court and the National Trust Carriage Museum,Whole property,Adult,Gift aid,12.8,51.145699,-3.98588
Attingham Park,Property admission from 3 February 2018,Adult,Gift aid,13.5,52.684399,-2.66675
Attingham Park,Off peak admission after 4.30pm from 3 Feb 2018,Adult,Gift aid,10,52.684399,-2.66675
Avebury,Avebury Manor Garden Winter 2018,Adult,Gift aid,8.5,51.427502,-1.85611
Avebury,Alexander Keiller Museum ,Adult,Gift aid,4.9,51.427502,-1.85611
Baddesley Clinton,General Admission,Adult,Gift aid,12.6,52.343832,-1.7084634
Barrington Court,Main season 9 Feb - 5 Nov 2018,Adult,Gift aid,13.2,50.960499,-2.85778
Basildon Park,Whole property,Adult,Gift aid,14,51.4995,-1.11858
Bateman's,Whole property,Adult,Gift aid,12,50.987701,0.37695
Beatrix Potter Gallery and Hawkshead,Whole property,Adult,Gift aid,7.2,54.373798,-2.99525
Belton House,House and Grounds,Adult,Gift aid,17.3,52.944901,-0.6137
Belton House,Grounds only,Adult,Gift aid,13.2,52.944901,-0.6137
Belton House,Grounds only: Winter,Adult,Gift aid,9.3,52.944901,-0.6137
Bembridge Windmill,Whole property,Adult,Gift aid,6.4,50.68551,-1.09474
"Beningbrough Hall, Gallery and Gardens",Whole property,Adult,Gift aid,13.8,54.022099,-1.21315
"Beningbrough Hall, Gallery and Gardens",Winter,Adult,Gift aid,8,54.022099,-1.21315
Berrington Hall,Whole property,Adult,Gift aid,11.5,52.269501,-2.71427
Biddulph Grange Garden,Whole property,Adult,Gift aid,10,53.129601,-2.15629
Birmingham Back to Backs,Whole property,Adult,Gift aid,9.55,52.473999,-1.8963
Blickling Estate,Whole property,Adult,Gift aid,15.95,52.812,1.23139
Blickling Estate,Whole property | Winter pricing,Adult,Gift aid,11,52.812,1.23139
Bodiam Castle,Whole property,Adult,Gift aid,10.8,51.000099,0.54741
Bodiam Castle,Offer tickets - K&ESR,Adult,Gift aid,9.9,51.000099,0.54741
Bodnant Garden,Whole property,Adult,Gift aid,14.6,53.236099,-3.79996
Bradley,Whole property,Adult,Gift aid,7.9,50.5256,-3.62486
Brockhampton Estate,Whole property,Adult,Gift aid,9.5,52.1991,-2.4569
Brockhampton Estate,Estate only,Adult,Gift aid,6.6,52.1991,-2.4569
Brownsea Island,Whole property,Adult,Gift aid,8,50.6884,-1.95622
Buckland Abbey,"House, garden and estate (Feb - Oct)",Adult,Gift aid,12.8,50.481098,-4.13074
Buckland Abbey,"House, garden and estate (Jan - Feb 10)",Adult,Gift aid,8.8,50.481098,-4.13074
Calke Abbey,Whole property,Adult,Gift aid,15.5,52.808253,-1.472834
Calke Abbey,"Garden, stables and park only",Adult,Gift aid,10.2,52.808253,-1.472834
Canons Ashby,Whole property,Adult,Gift aid,11.3,52.149502,-1.16034
Canons Ashby,Gardens only,Adult,Gift aid,5.2,52.149502,-1.16034
Castle Coole,Whole Property (Inc Guided House Tour),Adult,Gift aid,10,54.335499,-7.60046
Castle Coole,Grounds Only,Adult,Gift aid,4,54.335499,-7.60046
Castle Drogo,Whole property,Adult,Gift aid,12.8,50.698898,-3.80881
Castle Ward,Grounds and House,Adult,Gift aid,9.5,54.368301,-5.58034
Charlecote Park,"House, Parkland & Outbuildings",Adult,Gift aid,12.6,52.205101,-1.62103
Charlecote Park,Grounds & Outbuildings (Winter House Admission),Adult,Gift aid,8.4,52.205101,-1.62103
Chartwell,Whole property,Adult,Gift aid,16,51.2459,0.083513
Chartwell,Garden and studio only,Adult,Gift aid,8,51.2459,0.083513
Chastleton House and Garden,House and garden,Adult,Gift aid,12.5,51.960098,-1.63895
Chastleton House and Garden,Garden only,Adult,Gift aid,6,51.960098,-1.63895
Chedworth Roman Villa,Whole property,Adult,Gift aid,11.6,51.819401,-1.92295
Cherryburn,Whole property,Adult,Gift aid,6.2,54.957001,-1.88361
Chirk Castle,Whole property,Adult,Gift aid,14,52.935902,-3.08353
Chirk Castle,Whole property: off-peak,Adult,Gift aid,7,52.935902,-3.08353
Clandon Park,Whole property,Adult,Gift aid,8,51.253399,-0.50805
Clandon Park,Garden,Adult,Gift aid,5,51.253399,-0.50805
Claremont Landscape Garden,Whole property,Adult,Gift aid,9.9,51.355785,-0.381433
Claydon,House,Adult,Gift aid,8.4,51.924599,-0.95617
Clevedon Court,Whole property,Adult,Gift aid,9.5,51.439657,-2.831597
Clevedon Court,Garden only,Adult,Gift aid,5,51.439657,-2.831597
Cliveden,Gardens and woodlands,Adult,Gift aid,14,51.556596,-0.681394
Clouds Hill,Whole property,Adult,Gift aid,7.7,50.717878,-2.251675
Clumber Park,Admission,Adult,Gift aid,4.4,53.2691,-1.06568
Colby Woodland Garden,Whole property,Adult,Gift aid,8,51.742001,-4.67168
Coleridge Cottage,Whole property,Adult,Gift aid,7.3,51.151657,-3.157475
Coleton Fishacre,Whole property,Adult,Gift aid,12.8,50.345299,-3.53439
Compton Castle,Whole property,Adult,Gift aid,7.9,50.472198,-3.59649
